"id","date","staff_id","project_id","task_id","period"
1,2025/08/11,2,1,2,"08:30:00"
2,2025/08/11,2,1,2,"09:00:00"
3,2025/08/11,2,1,2,"09:30:00"
4,2025/08/11,2,1,2,"10:00:00"
5,2025/08/11,2,1,2,"10:30:00"
6,2025/08/11,2,1,2,"11:00:00"
7,2025/08/11,2,1,2,"11:30:00"
8,2025/08/11,2,1,2,"13:00:00"
9,2025/08/11,2,1,2,"13:30:00"
10,2025/08/11,2,1,2,"14:00:00"
11,2025/08/11,2,1,2,"14:30:00"
12,2025/08/11,2,1,2,"15:00:00"
13,2025/08/11,2,1,2,"15:30:00"
14,2025/08/11,2,1,2,"16:00:00"
15,2025/08/11,2,1,2,"16:30:00"
16,2025/08/11,2,1,2,"17:00:00"
17,2025/08/12,2,1,2,"08:30:00"
18,2025/08/12,2,1,2,"09:00:00"
19,2025/08/12,2,1,2,"09:30:00"
20,2025/08/12,2,1,2,"10:00:00"
21,2025/08/12,2,1,2,"10:30:00"
22,2025/08/12,2,1,2,"11:00:00"
23,2025/08/12,2,1,2,"11:30:00"
24,2025/08/12,2,1,2,"13:00:00"
25,2025/08/12,2,1,2,"13:30:00"
26,2025/08/12,2,1,2,"14:00:00"
27,2025/08/12,2,1,2,"14:30:00"
28,2025/08/12,2,1,2,"15:00:00"
29,2025/08/12,2,1,2,"15:30:00"
30,2025/08/12,2,1,2,"16:00:00"
31,2025/08/12,2,1,2,"16:30:00"
32,2025/08/12,2,1,2,"17:00:00"
33,2025/08/13,2,1,2,"08:30:00"
34,2025/08/13,2,1,2,"09:00:00"
35,2025/08/13,2,1,2,"09:30:00"
36,2025/08/13,2,1,2,"10:00:00"
37,2025/08/13,2,1,2,"10:30:00"
38,2025/08/13,2,1,2,"11:00:00"
39,2025/08/13,2,1,2,"11:30:00"
40,2025/08/13,2,1,2,"13:00:00"
41,2025/08/13,2,1,2,"13:30:00"
42,2025/08/13,2,1,2,"14:00:00"
43,2025/08/13,2,1,2,"14:30:00"
44,2025/08/13,2,1,2,"15:00:00"
45,2025/08/13,2,1,2,"15:30:00"
46,2025/08/13,2,1,2,"16:00:00"
47,2025/08/13,2,1,2,"16:30:00"
48,2025/08/13,2,1,2,"17:00:00"
49,2025/08/14,2,1,2,"08:30:00"
50,2025/08/14,2,1,2,"09:00:00"
51,2025/08/14,2,1,2,"09:30:00"
